agent,bathrooms,building_area,building_name,building_type,decor,elevator,floor_position,link,livingrooms,orientation,price_per_m2,property,region,rooms,school,section,structure,total_price,year
江山地产,1,97.0,金碧花园 (距2号线东晓南站约845米) 地图,普通住宅,简装修,有,中层,http://esf.gz.fang.com/chushou/3_218796443.htm,1,南北,37938.0,个人产权,海珠,3, 金碧第一小学 ,工业大道南,,368.0,2000.0
粤地王地产,1,45.0,马赛国际公寓 (距5号线潭村站约942米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220372751.htm,2,南,37333.0,个人产权,天河,2, 天河区第一实验小学 ,珠江新城东,,168.0,2007.0
恒安地产,1,93.0,尚东尚筑 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_206761978.htm,2,东南,29032.0,个人产权,番禺,3, 东湖洲小学 ,石碁,平层,270.0,2008.0
融德邦地产,2,89.2,大田苑 (距1号线花地湾站约816米) 地图,普通住宅,豪华装修,有,低层,http://esf.gz.fang.com/chushou/3_219348456.htm,2,南,19619.0,个人产权,荔湾,3,,芳村,,175.0,2006.0
中祈地产,2,96.0,三水御江南 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220423497.htm,2,南,10104.0,个人产权,广州周边,3,,佛山,平层,97.0,2009.0
堂正地产,2,123.0,海印南苑 (距8号线晓港站约1005米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220680198.htm,1,南北,41463.0,个人产权,海珠,3,,滨江中,,510.0,2001.0
裕丰地产,4,247.0,碧桂园假日半岛别墅 地图,,精装修,,低层,http://esf.gz.fang.com/chushou/10_219729316.htm,2,暂无,11336.0,,花都,5,,山前大道,,280.0,2011.0
粤地王地产,1,56.0,西村大院 (距5号线西村站约123米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220703374.htm,2,南,11964.0,个人产权,荔湾,2,,西村,开间,67.0,1998.0
佳悦地产,1,115.0,东园路小区 (距6号线团一大广场站约256米) 地图,普通住宅,中装修,无,中层,http://esf.gz.fang.com/chushou/3_217099156.htm,1,暂无,34783.0,个人产权,越秀,3, 永曜北小学 ,东山,平层,400.0,1990.0
正富地产,1,93.0,华标广场 (距3号线华师站约646米) 地图,普通住宅,简装修,有,中层,http://esf.gz.fang.com/chushou/3_219359734.htm,2,南北,59140.0,个人产权,天河,3, 龙口西小学 ,龙口东,平层,550.0,2001.0
